时间,Milkey Tan(DOH),亚托莉(DOQ),亚托莉(DOT),亚托莉(DOH-d),亚托莉(DOH-api),MPO women's clothing(DOQ),MPO women's clothing(DOT),MPO women's clothing(DOH/3),OolongTea(DOH),龙猫 totoro625(DOH),winter(DOH),夏·祈·枫(DOQ),夏·祈·枫(DOT),夏·祈·枫(DOH-IP),夏·祈·枫(DOH),夏·祈·枫(DOH-CDN-1),夏·祈·枫(DOH-CDN-2),🐱(DOQ),🐱(DOT),🐱(DOH/3),MapleCool(UDP),WoadZS赞助加速(UDP),比拉乌拉赞助加速(UDP),张 果果(DOH/3),张 果果(DOQ),张 果果(DOT)
2024-07-06 02:13:03,48,2000,68,73,187,257,203,215,282,322,331,362,383,393,405,623,708,1076,1095,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:13:39,25,2000,53,63,129,124,192,151,163,177,185,212,227,216,235,540,613,1110,1132,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:14:14,2000,31,68,52,190,217,278,165,247,298,292,151,281,267,312,593,608,1060,1086,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:14:49,22,59,59,2000,107,116,132,132,182,191,204,221,167,226,177,617,630,1062,1088,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:15:25,25,2000,52,59,182,204,121,229,242,148,180,134,225,230,279,586,615,1060,1093,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:16:00,26,57,55,2000,139,175,134,214,173,213,222,194,172,228,253,556,586,1057,1062,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:16:36,23,2000,52,56,181,156,193,241,231,210,240,220,266,275,269,592,613,1046,1075,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:17:12,22,2000,64,64,104,154,190,233,189,248,165,155,215,245,264,554,665,1062,1093,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:17:48,2000,43,50,57,190,229,230,101,283,177,263,239,214,180,249,569,618,1098,1124,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:18:23,27,54,59,2000,121,126,146,136,191,165,184,226,242,246,241,559,600,1045,1092,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:18:59,21,2000,51,65,144,153,135,232,216,190,259,262,241,259,267,568,619,1058,1072,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:19:34,44,59,57,88,2000,144,140,181,180,214,181,202,238,237,242,581,604,752,1073,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:20:09,30,59,59,192,152,2000,189,270,161,315,283,154,322,327,332,579,576,1053,1106,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:20:44,36,62,74,196,2000,289,347,338,384,338,396,323,412,300,406,675,745,1116,1176,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:21:19,24,2000,60,57,101,144,179,200,218,174,202,228,159,226,219,546,575,1047,1053,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:21:54,24,2000,67,56,109,143,168,163,182,177,197,232,244,201,259,566,569,1054,1099,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:22:30,22,52,59,129,111,2000,114,190,172,190,190,167,213,229,240,579,600,1073,1077,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:23:05,27,52,64,2000,149,154,154,162,219,173,221,164,208,237,294,529,624,1088,1147,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:23:40,25,90,2000,57,58,146,159,137,202,209,216,206,236,271,285,592,666,1046,1062,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:24:16,24,51,58,2000,140,199,187,167,175,172,179,180,243,217,239,601,634,1060,1108,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:24:51,2000,26,67,63,244,230,186,242,149,216,116,211,166,284,272,630,635,1079,1073,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:25:26,23,2000,61,51,138,131,201,175,145,174,163,223,207,233,238,548,619,1046,1038,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:26:01,49,65,76,209,2000,261,303,296,304,134,298,265,199,177,342,611,611,1096,1088,2000,2000,2000,2000,2000,2000,2000
